Lat,Lon,Date,Unq_Loc.x,cutLat.x,cutLon.x,Year,month,day,DOY,Unique_Date,Date_2,SSH,SSH_sd,SST,SST_sd,SST_Anom,Curl_Val,U_Val,V_Val,Depth_Val,Rugosity_Val,Dist_Shore_Val,CHL_Val,WEGU_Nu,WEGU_Agg,PFSH_Nu,PFSH_Agg,CAAU_Nu,CAAU_Agg,SOSH_Nu,SOSH_Agg,COMU_Nu,COMU_Agg,BFAL_Nu,BFAL_Agg
36,-121.8,5/21/2007,"(-121.8,-121.7] (36,36.1]","(36,36.1]","(-121.8,-121.7]",2007,5,21,141,2007 5 21,20070521,0.011491285,0.014399566,11.51780936,0.497393001,0.380829307,2.10E-06,0.215364923,-0.195314983,-976.6123052,712.5810123,14881.54102,0.407056284,0,0,2,0,2,0,8,0,0,0,0,0
36,-121.8,5/15/2008,"(-121.8,-121.7] (36,36.1]","(36,36.1]","(-121.8,-121.7]",2008,5,15,136,2008 5 15,20080515,-0.010208443,0.013671841,11.5960359,0.140283382,0.424022299,1.62E-07,-0.100663353,0.24241699,-976.6123052,712.5810123,14881.54102,1.193461746,5,0,3,0,0,0,1,0,0,0,2,0
36,-121.8,5/29/2008,"(-121.8,-121.7] (36,36.1]","(36,36.1]","(-121.8,-121.7]",2008,5,29,150,2008 5 29,20080529,0.021138222,0.006506198,11.72732725,0.064042667,0.372454378,-2.61E-07,0.101549642,0.058236688,-976.6123052,712.5810123,14881.54102,1.680452629,4,0,11,1,1,0,45,0,1,0,0,0
36,-121.8,5/31/2014,"(-121.8,-121.7] (36,36.1]","(36,36.1]","(-121.8,-121.7]",2014,5,31,151,2014 5 31,20140531,0.000901851,0.007994835,11.58091487,0.502482845,0.223084199,9.62E-07,0.185275127,-0.174670975,-976.6123052,712.5810123,14881.54102,0.534816217,0,0,0,0,2,0,3,0,0,0,0,0
36,-121.8,5/30/2019,"(-121.8,-121.7] (36,36.1]","(36,36.1]","(-121.8,-121.7]",2019,5,30,150,2019 5 30,20190530,-0.066217614,0.029919249,10.87437146,0.67806586,0.206298467,3.63E-07,0.258981603,-0.543633563,-976.6123052,712.5810123,14881.54102,1.460108116,0,0,0,0,0,0,0,0,0,0,0,0
36,-121.8,6/6/2021,"(-121.8,-121.7] (36,36.1]","(36,36.1]","(-121.8,-121.7]",2021,6,6,157,2021 6 6,20210606,0.057745144,0.009641223,11.89286137,0.353175785,0.300907367,-8.74E-08,0.055380143,-0.36740467,-976.6123052,712.5810123,14881.54102,1.947383718,0,0,0,0,0,0,52,0,0,0,0,0
36,-121.9,5/21/2010,"(-121.9,-121.8] (36,36.1]","(36,36.1]","(-121.9,-121.8]",2010,5,21,141,2010 5 21,20100521,0.026024758,0.018343963,11.90056471,0.305940804,0.332914393,3.34E-06,0.12827704,-0.213427027,-1302.820313,682.5817865,29677.54688,0.690425455,0,0,0,0,0,0,0,0,0,0,0,0
36,-121.9,6/2/2013,"(-121.9,-121.8] (36,36.1]","(36,36.1]","(-121.9,-121.8]",2013,6,2,153,2013 6 2,20130602,-0.018113751,0.013346734,11.15430268,0.297399299,0.21104355,1.65E-06,0.022582287,-0.476644206,-1302.820313,682.5817865,29677.54688,0.918351189,0,0,0,0,0,0,540,1,0,0,0,0
36,-121.9,5/29/2014,"(-121.9,-121.8] (36,36.1]","(36,36.1]","(-121.9,-121.8]",2014,5,29,149,2014 5 29,20140529,0.055193051,0.009998119,11.33919797,0.163191093,0.142629745,3.07E-06,-0.166026796,-0.232805125,-1302.820313,682.5817865,29677.54688,0.35936805,0,0,0,0,0,0,25,0,0,0,0,0
36,-121.9,5/14/2016,"(-121.9,-121.8] (36,36.1]","(36,36.1]","(-121.9,-121.8]",2016,5,14,135,2016 5 14,20160514,0.034196787,0.024589626,12.62115159,0.616383829,0.244316903,-2.40E-07,0.380290661,-0.283392779,-1302.820313,682.5817865,29677.54688,0.611303975,0,0,0,0,0,0,0,0,0,0,0,0
36,-121.9,6/6/2017,"(-121.9,-121.8] (36,36.1]","(36,36.1]","(-121.9,-121.8]",2017,6,6,157,2017 6 6,20170606,-0.014811123,0.012840498,11.1374673,0.292041924,0.200764635,1.25E-06,0.033076345,-0.324233459,-1302.820313,682.5817865,29677.54688,0.674563844,0,0,0,0,0,0,0,0,0,0,0,0
36,-121.9,5/30/2019,"(-121.9,-121.8] (36,36.1]","(36,36.1]","(-121.9,-121.8]",2019,5,30,150,2019 5 30,20190530,-0.03869378,0.034089982,11.7044457,0.368872291,0.293205032,1.46E-07,0.335363524,-0.49263224,-1302.820313,682.5817865,29677.54688,1.666067137,0,0,0,0,1,0,0,0,0,0,0,0
36,-122,5/9/2004,"(-122,-121.9] (36,36.1]","(36,36.1]","(-122,-121.9]",2004,5,9,130,2004 5 9,20040509,0.039731178,0.012095085,12.67199155,0.279170558,0.323829385,2.09E-06,0.097025421,-0.313606937,-1302.820313,682.5817865,29677.54688,2.651173863,1,0,0,0,0,0,0,0,0,0,15,1
36,-122,5/8/2005,"(-122,-121.9] (36,36.1]","(36,36.1]","(-122,-121.9]",2005,5,8,128,2005 5 8,20050508,0.048175621,0.0076091,15.11832731,0.154489024,0.553527924,-6.23E-08,-0.032148651,0.109801038,-1302.820313,682.5817865,29677.54688,0.487339335,0,0,1,0,0,0,0,0,0,0,1,0
36,-122,5/14/2007,"(-122,-121.9] (36,36.1]","(36,36.1]","(-122,-121.9]",2007,5,14,134,2007 5 14,20070514,-0.031474248,0.002403541,10.74182454,0.28185162,0.32723624,1.54E-06,-0.054531551,-0.135825839,-1302.820313,682.5817865,29677.54688,2.475045023,0,0,0,0,1,0,0,0,0,0,0,0
36,-122,5/21/2010,"(-122,-121.9] (36,36.1]","(36,36.1]","(-122,-121.9]",2010,5,21,141,2010 5 21,20100521,0.03096872,0.011590345,12.34042634,0.305940804,0.374741358,2.47E-06,0.054578274,-0.143269449,-1302.820313,682.5817865,29677.54688,0.968370556,0,0,0,0,0,0,0,0,0,0,0,0
36,-122,5/30/2010,"(-122,-121.9] (36,36.1]","(36,36.1]","(-122,-121.9]",2010,5,30,150,2010 5 30,20100530,0.034190686,0.010098013,12.47589294,0.546496406,0.332249089,2.51E-06,0.089479468,-0.219929421,-1302.820313,682.5817865,29677.54688,0.890893018,0,0,0,0,0,0,0,0,0,0,0,0
36,-122,5/18/2015,"(-122,-121.9] (36,36.1]","(36,36.1]","(-122,-121.9]",2015,5,18,138,2015 5 18,20150518,0.086065147,0.004455799,13.03564255,0.486838044,0.40811008,2.23E-08,0.038902593,-0.081109856,-1302.820313,682.5817865,29677.54688,0.576577485,0,0,0,0,0,0,0,0,0,0,0,0
36,-122,5/14/2016,"(-122,-121.9] (36,36.1]","(36,36.1]","(-122,-121.9]",2016,5,14,135,2016 5 14,20160514,0.045678855,0.014139928,13.20326903,0.616383829,0.297312363,-2.26E-07,0.163050891,-0.129283406,-1302.820313,682.5817865,29677.54688,0.551321519,0,0,0,0,0,0,0,0,0,0,0,0
36,-122,5/9/2017,"(-122,-121.9] (36,36.1]","(36,36.1]","(-122,-121.9]",2017,5,9,129,2017 5 9,20170509,-0.043567853,0.00592779,11.72032749,0.606409595,0.350798568,6.89E-07,0.055093865,-0.077540574,-1302.820313,682.5817865,29677.54688,0.440381373,0,0,0,0,0,0,0,0,0,0,0,0
36,-122,6/6/2017,"(-122,-121.9] (36,36.1]","(36,36.1]","(-122,-121.9]",2017,6,6,157,2017 6 6,20170606,-0.003874121,0.009292453,11.68977546,0.292041924,0.243155054,8.57E-07,-0.015650813,-0.259533348,-1302.820313,682.5817865,29677.54688,0.285905183,0,0,0,0,0,0,0,0,0,0,0,0
36,-122.1,5/30/2010,"(-122.1,-122] (36,36.1]","(36,36.1]","(-122.1,-122]",2010,5,30,150,2010 5 30,20100530,0.03711226,0.005260321,12.91330405,0.250058465,0.373399148,1.82E-06,0.023521333,-0.142014704,-1495.98633,799.131207,34453.375,1.017489017,0,0,0,0,0,0,2,0,0,0,0,0
36,-122.1,5/10/2015,"(-122.1,-122] (36,36.1]","(36,36.1]","(-122.1,-122]",2015,5,10,130,2015 5 10,20150510,0.091147482,0.008447612,13.20815445,0.602403228,0.432976027,5.88E-07,0.012323347,0.047445181,-1495.98633,799.131207,34453.375,0.522447129,0,0,0,0,0,0,0,0,0,0,0,0
36,-122.1,5/18/2015,"(-122.1,-122] (36,36.1]","(36,36.1]","(-122.1,-122]",2015,5,18,138,2015 5 18,20150518,0.086571753,0.006368627,13.63935859,0.130994785,0.462822587,-7.73E-08,-0.019562435,0.003224159,-1495.98633,799.131207,34453.375,0.554046464,0,0,0,0,0,0,0,0,0,0,0,0
36,-122.1,6/6/2016,"(-122.1,-122] (36,36.1]","(36,36.1]","(-122.1,-122]",2016,6,6,158,2016 6 6,20160606,0.087547078,0.014926953,14.23857319,0.481670768,0.468686937,-9.08E-08,-0.123295427,0.190583738,-1495.98633,799.131207,34453.375,1.351323254,0,0,0,0,0,0,0,0,0,0,0,0
36,-122.1,5/9/2017,"(-122.1,-122] (36,36.1]","(36,36.1]","(-122.1,-122]",2017,5,9,129,2017 5 9,20170509,-0.056860416,0.015019931,12.52412475,0.129429574,0.417185607,7.91E-07,-0.016553423,0.222208489,-1495.98633,799.131207,34453.375,0.536506078,0,0,0,0,0,0,0,0,0,0,0,0
36,-122.1,5/12/2017,"(-122.1,-122] (36,36.1]","(36,36.1]","(-122.1,-122]",2017,5,12,132,2017 5 12,20170512,0.011096074,0.008824788,13.69505933,0.163910885,0.456560712,-2.87E-07,-0.035199791,-0.094724918,-1495.98633,799.131207,34453.375,0.536506078,0,0,0,0,0,0,0,0,0,0,0,0
36,-122.1,5/11/2019,"(-122.1,-122] (36,36.1]","(36,36.1]","(-122.1,-122]",2019,5,11,131,2019 5 11,20190511,0.133141986,0.007028214,15.41930712,0.210088688,0.584230215,-4.70E-08,-0.08225109,-0.002819911,-1495.98633,799.131207,34453.375,0.145787915,0,0,0,0,0,0,0,0,0,0,0,0
36,-122.1,5/6/2021,"(-122.1,-122] (36,36.1]","(36,36.1]","(-122.1,-122]",2021,5,6,126,2021 5 6,20210506,0.043782219,0.002910347,11.17353249,0.141651524,0.262873929,-5.05E-08,-0.043918401,-0.063093245,-1495.98633,799.131207,34453.375,1.120760603,0,0,0,0,0,0,3,0,0,0,0,0
36.1,-121.9,5/21/2007,"(-121.9,-121.8] (36.1,36.2]","(36.1,36.2]","(-121.9,-121.8]",2007,5,21,141,2007 5 21,20070521,-0.000464024,0.010626656,10.83478433,0.40716816,0.323969715,1.91E-06,0.097489659,-0.158953854,-984.584965,779.3061665,12345.34766,0.266349596,0,0,0,0,3,0,10,0,0,0,0,0
36.1,-121.9,5/15/2008,"(-121.9,-121.8] (36.1,36.2]","(36.1,36.2]","(-121.9,-121.8]",2008,5,15,136,2008 5 15,20080515,-0.004794091,0.008583091,10.68431997,0.140696099,0.34736441,1.78E-07,-0.225235148,0.010349788,-984.584965,779.3061665,12345.34766,0.806091433,5,0,0,0,1,0,0,0,1,0,0,0
36.1,-121.9,5/29/2008,"(-121.9,-121.8] (36.1,36.2]","(36.1,36.2]","(-121.9,-121.8]",2008,5,29,150,2008 5 29,20080529,0.006144791,0.006843646,11.7480234,0.216797899,0.374297134,-3.03E-07,0.025980019,0.130001233,-984.584965,779.3061665,12345.34766,1.493924363,2,0,0,0,0,0,23,0,1,0,0,0
36.1,-121.9,5/29/2014,"(-121.9,-121.8] (36.1,36.2]","(36.1,36.2]","(-121.9,-121.8]",2014,5,29,149,2014 5 29,20140529,0.065232002,0.004923253,11.34914258,0.0769885,0.143436863,3.63E-06,-0.077239535,-0.245769941,-984.584965,779.3061665,12345.34766,0.788141476,0,0,0,0,0,0,0,0,0,0,0,0
36.1,-121.9,5/31/2014,"(-121.9,-121.8] (36.1,36.2]","(36.1,36.2]","(-121.9,-121.8]",2014,5,31,151,2014 5 31,20140531,-0.010417353,0.004618693,11.11681986,0.483585222,0.1878032,7.73E-07,0.15375413,-0.117677523,-984.584965,779.3061665,12345.34766,0.788141476,0,0,0,0,0,0,525,1,1,0,0,0
36.1,-121.9,5/30/2019,"(-121.9,-121.8] (36.1,36.2]","(36.1,36.2]","(-121.9,-121.8]",2019,5,30,150,2019 5 30,20190530,-0.071074628,0.029328625,10.45223475,0.930907789,0.162101876,1.57E-07,0.246987392,-0.427156939,-984.584965,779.3061665,12345.34766,2.108272975,0,0,0,0,0,0,1,0,0,0,0,0
36.1,-121.9,6/6/2021,"(-121.9,-121.8] (36.1,36.2]","(36.1,36.2]","(-121.9,-121.8]",2021,6,6,157,2021 6 6,20210606,0.052649748,0.00909631,12.7238121,0.293052858,0.365495383,2.49E-07,0.102560319,-0.031857222,-984.584965,779.3061665,12345.34766,1.968012469,2,0,11,1,0,0,103,0,0,0,0,0
36.1,-122,5/9/2004,"(-122,-121.9] (36.1,36.2]","(36.1,36.2]","(-122,-121.9]",2004,5,9,130,2004 5 9,20040509,0.026156399,0.014377068,12.19116088,0.424349469,0.280126353,2.23E-06,0.137362779,-0.24523405,-984.584965,779.3061665,12345.34766,3.820507151,0,0,0,0,0,0,0,0,0,0,0,0
36.1,-122,5/8/2005,"(-122,-121.9] (36.1,36.2]","(36.1,36.2]","(-122,-121.9]",2005,5,8,128,2005 5 8,20050508,0.052128835,0.003980749,15.02353348,0.258457114,0.543932507,-7.69E-08,0.009589434,0.059220342,-984.584965,779.3061665,12345.34766,0.530942095,0,0,3,0,0,0,115,0,0,0,0,0
36.1,-122,5/10/2006,"(-122,-121.9] (36.1,36.2]","(36.1,36.2]","(-122,-121.9]",2006,5,10,130,2006 5 10,20060510,0.039738905,0.015905576,11.74102923,0.134442476,0.370942798,1.45E-06,0.126264659,-0.200880202,-984.584965,779.3061665,12345.34766,1.856127452,0,0,0,0,3,0,0,0,0,0,0,0
36.1,-122,5/14/2007,"(-122,-121.9] (36.1,36.2]","(36.1,36.2]","(-122,-121.9]",2007,5,14,134,2007 5 14,20070514,-0.028633691,0.002803343,10.53083579,0.18555622,0.309451441,1.59E-06,-0.072087065,-0.100845355,-984.584965,779.3061665,12345.34766,2.046752155,0,0,0,0,0,0,0,0,0,0,0,0
36.1,-122,5/21/2010,"(-122,-121.9] (36.1,36.2]","(36.1,36.2]","(-122,-121.9]",2010,5,21,141,2010 5 21,20100521,0.017605813,0.015568829,11.66053802,0.538013284,0.310089969,2.54E-06,0.121561056,-0.126188904,-984.584965,779.3061665,12345.34766,0.786731985,0,0,0,0,0,0,0,0,0,0,0,0
36.1,-122,5/20/2013,"(-122,-121.9] (36.1,36.2]","(36.1,36.2]","(-122,-121.9]",2013,5,20,140,2013 5 20,20130520,0.000216456,0.012481113,12.17560559,0.588444617,0.333848151,1.16E-06,0.141680875,-0.239598736,-984.584965,779.3061665,12345.34766,2.611841429,0,0,0,0,0,0,0,0,0,0,0,0
